order_id,ecom_customer_id,order_date,order_total,order_status
ORD-N00058,EC-N00058,2026-07-27T00:00:00Z,349.0,Completed
ORD-N00059,EC-N00059,2026-07-26T00:00:00Z,219.0,Completed
ORD-N00060,EC-N00060,2026-07-26T00:00:00Z,159.0,Completed
ORD-N00061,EC-N00061,2026-07-22T00:00:00Z,189.0,Completed
ORD-N00062,EC-N00062,2026-07-16T00:00:00Z,159.0,Completed
ORD-N00063,EC-N00063,2026-07-09T00:00:00Z,219.0,Completed
ORD-N00064,EC-N00064,2026-07-30T00:00:00Z,159.0,Completed
ORD-N00065,EC-N00065,2026-07-13T00:00:00Z,159.0,Completed
ORD-N00066,EC-N00066,2026-07-21T00:00:00Z,219.0,Completed
ORD-N00067,EC-N00067,2026-07-18T00:00:00Z,299.0,Completed
ORD-N00068,EC-N00068,2026-07-04T00:00:00Z,189.0,Completed
ORD-N00069,EC-N00069,2026-07-05T00:00:00Z,219.0,Completed
ORD-N00070,EC-N00070,2026-07-28T00:00:00Z,159.0,Completed
ORD-N00071,EC-N00071,2026-07-06T00:00:00Z,159.0,Completed
ORD-N00072,EC-N00072,2026-07-05T00:00:00Z,159.0,Completed
ORD-N00073,EC-N00073,2026-07-21T00:00:00Z,159.0,Completed
ORD-N00074,EC-N00074,2026-07-22T00:00:00Z,349.0,Completed
ORD-N00075,EC-N00075,2026-07-08T00:00:00Z,189.0,Completed
ORD-N00076,EC-N00076,2026-07-06T00:00:00Z,159.0,Completed
ORD-N00077,EC-N00077,2026-07-18T00:00:00Z,349.0,Completed
ORD-N00078,EC-N00078,2026-07-26T00:00:00Z,219.0,Completed
ORD-N00079,EC-N00079,2026-07-02T00:00:00Z,349.0,Completed
ORD-N00080,EC-N00080,2026-07-01T00:00:00Z,189.0,Completed
ORD-N00081,EC-N00081,2026-07-20T00:00:00Z,159.0,Completed
ORD-N00082,EC-N00082,2026-07-09T00:00:00Z,299.0,Completed
ORD-N00083,EC-N00083,2026-07-12T00:00:00Z,299.0,Completed
ORD-N00084,EC-N00084,2026-07-14T00:00:00Z,189.0,Completed
ORD-N00085,EC-N00085,2026-07-05T00:00:00Z,219.0,Completed
ORD-N00086,EC-N00086,2026-07-08T00:00:00Z,349.0,Completed
ORD-N00087,EC-N00087,2026-07-16T00:00:00Z,299.0,Completed
ORD-N00088,EC-N00088,2026-07-09T00:00:00Z,189.0,Completed
ORD-N00089,EC-N00089,2026-07-30T00:00:00Z,159.0,Completed
ORD-N00090,EC-N00090,2026-07-26T00:00:00Z,349.0,Completed
ORD-N00091,EC-N00091,2026-07-30T00:00:00Z,189.0,Completed
ORD-N00092,EC-N00092,2026-07-25T00:00:00Z,219.0,Completed
ORD-N00093,EC-N00093,2026-07-01T00:00:00Z,349.0,Completed
ORD-N00094,EC-N00094,2026-07-05T00:00:00Z,349.0,Completed
ORD-N00095,EC-N00095,2026-07-12T00:00:00Z,189.0,Completed
ORD-N00096,EC-N00096,2026-07-24T00:00:00Z,299.0,Completed
ORD-N00097,EC-N00097,2026-07-21T00:00:00Z,219.0,Completed
ORD-N00098,EC-N00098,2026-07-03T00:00:00Z,159.0,Completed
ORD-N00099,EC-N00099,2026-07-20T00:00:00Z,349.0,Completed
ORD-N00100,EC-N00100,2026-07-02T00:00:00Z,159.0,Completed
